source_file,polyline_index,point_index,lon,lat,x,y,nearest_x,nearest_y,signed_distance_m,abs_distance_m,kept
2024-10-01T21:34:59Z.json,0,12,105.86771,20.99666,590184.6561963973,2322022.6953800037,590182.0596064506,2322022.709423866,2.5966279250474047,2.5966279250474047,True
2024-10-01T21:34:59Z.json,0,13,105.86769,20.99641,590182.7275554822,2321995.013550447,590182.1598171995,2321995.009494473,0.5677527706632529,0.5677527706632529,True
2024-10-01T21:34:59Z.json,0,14,105.86773,20.99636,590186.9151973574,2321989.502003352,590182.1994038995,2321989.468313297,4.715913798797192,4.715913798797192,True
2024-10-01T21:34:59Z.json,0,15,105.86778,20.99632,590192.136237885,2321985.102920198,590182.2310962019,2321985.032156969,9.90539444929434,9.90539444929434,True
2024-10-01T21:34:59Z.json,0,16,105.8678,20.99624,590194.2631002419,2321976.259627062,590182.2943788099,2321976.1741214325,11.969026858110894,11.969026858110894,True
2024-10-01T21:34:59Z.json,0,17,105.86778,20.99614,590192.244362778,2321965.180125751,590182.3734247036,2321965.1096068756,9.871189967828084,9.871189967828084,True
2024-10-01T21:34:59Z.json,0,18,105.86781,20.99585,590195.5367803413,2321933.0992142954,590182.6027699728,2321933.0068125543,12.93434042752966,12.93434042752966,True
2024-10-01T21:34:59Z.json,0,19,105.86777,20.99568,590191.4812706744,2321914.2606786937,590182.7371403335,2321914.1982098348,8.744353479615514,8.744353479615514,True
2024-10-01T21:34:59Z.json,0,20,105.86776,20.99551,590190.5439760783,2321895.4390667775,590182.8726555135,2321895.382610166,7.671528306477751,7.671528306477751,True
2024-10-01T21:34:59Z.json,0,21,105.86773,20.99543,590187.4738019079,2321886.567570347,590182.9377749335,2321886.5341877355,4.536149811298689,4.536149811298689,True
2024-10-01T21:34:59Z.json,0,22,105.86771,20.99531,590185.467058602,2321873.2744279155,590183.0354910165,2321873.2565329433,2.431633433143252,2.431633433143252,True
2024-10-01T21:34:59Z.json,0,23,105.86774,20.99505,590188.7414537101,2321844.5139833093,590183.4165044411,2321844.4369477173,5.325506473618985,5.325506473618985,True
2024-10-01T21:34:59Z.json,0,24,105.86781,20.99486,590196.1314640946,2321823.523855178,590183.7216496583,2321823.344323439,12.411113003662592,12.411113003662592,True
2024-10-01T21:34:59Z.json,0,25,105.86784,20.99484,590199.2617168403,2321821.327134789,590183.7540777758,2321821.102787082,15.509261789348981,15.509261789348981,True
2024-10-04T20:47:33Z.json,0,0,105.86765,20.99469,590179.6029533806,2321804.617639545,590183.7879155816,2321818.7638085093,-14.752220341187789,14.752220341187789,False
2024-10-04T20:47:33Z.json,0,1,105.86766,20.99469,590180.6423674544,2321804.6232794398,590183.7879155816,2321818.7638085093,-14.486167035780866,14.486167035780866,False
2024-10-04T20:47:33Z.json,0,2,105.86768,20.99473,590182.6971722874,2321809.061846222,590183.7879155816,2321818.7638085093,-9.763083179133913,9.763083179133913,False
2024-10-04T20:47:33Z.json,0,3,105.86772,20.99495,590186.7226923804,2321833.434484941,590183.5763346489,2321833.388966849,3.1466869675164193,3.1466869675164193,True
2024-10-04T20:47:33Z.json,0,4,105.86776,20.99505,590190.8202769114,2321844.5252644927,590183.4167762606,2321844.4181586727,7.404275355679387,7.404275355679387,True
2024-10-04T20:47:33Z.json,0,5,105.86777,20.99516,590191.793616341,2321856.7059446387,590183.24079993,2321856.5822117645,8.553711380720758,8.553711380720758,True
2024-10-04T20:47:33Z.json,0,6,105.86771,20.99535,590185.4430337728,2321877.701715052,590183.0029091329,2321877.683757105,2.4401907192013503,2.4401907192013503,True
2024-10-04T20:47:33Z.json,0,7,105.8677,20.99544,590184.3495688555,2321887.6574707995,590182.9295851092,2321887.6470205165,1.420022199838239,1.420022199838239,True
2024-10-04T20:47:33Z.json,0,8,105.86776,20.99588,590190.3217298986,2321936.3914749124,590182.578984813,2321936.3361600405,7.742942670325144,7.742942670325144,True
2024-10-04T20:47:33Z.json,0,9,105.86775,20.99603,590189.1922242121,2321952.98816219,590182.4603649827,2321952.9400691786,6.73203101761052,6.73203101761052,True
2024-10-04T20:47:33Z.json,0,10,105.86772,20.99613,590186.0139449583,2321964.0394588793,590182.3812553431,2321964.0135066155,3.632782316724806,3.632782316724806,True
2024-10-04T20:47:33Z.json,0,11,105.86772,20.99623,590185.9538798649,2321975.107677822,590182.3021839549,2321975.0815897756,3.651789096520587,3.651789096520587,True
2024-10-04T20:47:33Z.json,0,12,105.86763,20.99643,590176.4791305903,2321997.1933524306,590182.1439264005,2321997.2338222447,-5.664940368287206,5.664940368287206,False
